counties,devpressure_0_5_92,slope,road_dens_perc,forest_1992_smooth_perc,dist_water_mi,dist_to_protected_mi,dist_interchanges_mi,view_size
69,0,0.5176235,4.30839002267574,0,0,18.9126035698268,10.417394283805,0.0001
69,0,0.9400587,0,7.38255033557047,0,5.27490537294397,21.8214071532785,0.0001
69,0,0.2671683,0,28.1879194630872,0,6.60649730899706,20.5247413862329,0.0001
69,0,1.528206,0,22.8187919463087,0,7.42912238700455,19.7619753736896,0.0001
69,0,1.108871,4.53514739229025,0,0,14.7126051341082,13.8731300414571,0.0001
69,0,0.5009516,5.66893424036281,0.671140939597315,0,2.63431453815097,40.7900795825042,0.0001
69,0,0.8026448,0,0,0,15.6142205623066,13.2211094729542,0.0001
69,0,0.4387569,0,0,0,19.7971067680949,10.1734775619174,0.0001
69,0,0.1488576,3.85487528344671,0,0,3.44699739313514,48.943530463714,5.2504
69,0,1.020818,0,0,0,5.03690831594559,47.8740510644329,2.601
69,0,0.1458334,0,0,0,2.68508422585651,45.6245061217457,0.0001
69,0,1.678866,0,0,0,16.7501070064904,12.0785939298453,0.0001
69,0,0.1868577,0,0,0,19.8450668234223,10.1570676175716,0.0001
69,0,1.511124,0,8.7248322147651,0,0.50007411949709,27.7291493812869,0.0001
69,0,0.217495,7.93650793650794,0,0,2.5038356969014,43.9772418641322,0.0001
69,0,0.4077779,3.17460317460317,0,0,2.77962717962956,43.3742136030569,0.0001
69,0,0.2964687,0,0,0,18.6227481588668,10.4209772422961,0.0001
69,0,0.8048882,5.66893424036281,0.671140939597315,0,2.55797816926638,40.7092528079839,0.0001
69,0,1.199654,2.04081632653061,48.993288590604,0,1.09628389645922,26.9268074128955,0.0001
69,0,1.289495,1.13378684807256,52.3489932885906,0,1.31761939517587,26.706289259127,0.0001
69,0,0.6122501,6.57596371882086,13.4228187919463,0,10.0706796184415,17.3820926007003,0.0001
69,0,1.074242,0,0,0,16.6022857144368,12.1858674951153,0.0001
69,0,0.2921512,0,0,0,19.8482227637675,10.1313481251581,
69,0,0.7696775,0.453514739229025,9.39597315436242,0,3.78668067129076,46.2894983266594,4.2831
69,0,0.175165,0,0,0,8.29826403346491,18.8977099436155,0.0001
69,0,1.078575,7.2562358276644,27.5167785234899,0,3.41590525694433,46.0776916316921,11.2755
69,0,0.7167328,4.53514739229025,60.4026845637584,0,1.24217308923423,26.7564522120336,0.0001
69,2.334266,1.018248,7.02947845804989,22.8187919463087,0,2.3129998147047,25.2047373115335,0.0001
69,0,0.260246,7.2562358276644,0,0,2.35410266277569,45.2297903785027,0.0001
69,0,0.9853705,5.4421768707483,10.0671140939597,0,2.61582099735322,43.5240151049379,0.0001
69,0,0.6776813,0,0.671140939597315,0,2.52618469415288,49.3159188492062,6.1793
69,0,0.3575414,0,0,0,2.31396992462354,45.1206098215543,0.0001
69,0,0.7011868,0,32.8859060402685,0,5.57482184971353,21.3661592651816,0.0001
69,0,1.902918,0,0,0,16.2435575755751,12.5929018084265,0.0001
69,0,0.4849251,5.66893424036281,18.1208053691275,0,3.33144890372262,42.1693606299721,0.0001
69,0,1.365511,6.12244897959184,9.39597315436242,0,2.4908116286403,40.7763025169716,0.0001
69,0,0.594465,3.6281179138322,0,0,14.2211036465393,14.0552064721897,0.0001
69,0,1.149939,7.93650793650794,0,0,17.3397998670327,11.0954988476022,0.0001
69,0,0.4223049,4.08163265306122,0,0,8.69308951726892,18.469979780602,0.0001
69,0,0.4553965,0,0,0,16.3179029521374,12.3722559381986,0.0001
69,0,0.112944,5.4421768707483,0,0,17.7006355626523,10.7635865500503,0.0001
69,0,1.316715,0,0,0,5.58615111128972,47.2716712183275,15.492
69,0,0.9035044,2.26757369614512,26.1744966442953,0,0.983991143144505,26.9392615874426,0.0001
69,0,1.564662,6.34920634920635,54.3624161073826,0,9.65408841999028,17.6149763343792,0.0001
69,0,0.7109014,0,0,0,12.4254731750771,15.3443889425928,0.0001
69,0,0.428604,0,0,0,12.5090147206212,15.2796726480226,0.0001
69,0,0.03424394,4.76190476190476,6.04026845637584,0,3.93272597429909,48.3187483525374,3.8313
69,0,0.3271861,0,0,0,4.74169911742148,47.7308868197387,10.8694
69,0,0.1454976,0,0,0,2.15938063777816,44.7704314334566,0.0001
